文件路径,识别结果,位置,面积,时间
img.png,car,"[270, 25, 307, 58]",1221,0.19
img.png,car,"[208, 14, 241, 46]",1056,0.19
img.png,car,"[157, 17, 181, 47]",720,0.19
img.png,car,"[168, 4, 193, 31]",675,0.19
img.png,car,"[119, 24, 171, 68]",2288,0.19
img.png,car,"[190, 27, 235, 59]",1440,0.19
img.png,car,"[116, 46, 165, 101]",2695,0.19
img.png,car,"[276, 33, 339, 92]",3717,0.19
img.png,car,"[180, 46, 234, 99]",2862,0.19
img.png,car,"[61, 61, 151, 149]",7920,0.19
img.png,人,"[159, 177, 199, 275]",3920,0.19
img.png,人,"[336, 149, 377, 237]",3608,0.19
img.png,car,"[296, 70, 377, 150]",6480,0.19
img.png,car,"[190, 70, 266, 149]",6004,0.19
img.png,car,"[206, 13, 241, 46]",740,0.22
img.png,car,"[263, 8, 297, 42]",718,0.22
img.png,car,"[205, 0, 241, 22]",636,0.22
img.png,car,"[164, 4, 193, 31]",557,0.22
img.png,car,"[151, 17, 181, 47]",468,0.22
img.png,car,"[120, 23, 171, 69]",1313,0.22
img.png,car,"[186, 27, 238, 67]",1083,0.22
img.png,car,"[269, 25, 306, 62]",832,0.22
img.png,car,"[180, 48, 233, 101]",1703,0.22
img.png,car,"[114, 48, 164, 101]",1305,0.22
img.png,car,"[278, 34, 339, 92]",2397,0.22
img.png,人,"[159, 177, 198, 275]",2471,0.22
img.png,人,"[337, 150, 377, 237]",1646,0.22
img.png,car,"[60, 61, 152, 150]",6200,0.22
img.png,car,"[295, 73, 376, 150]",5164,0.22
img.png,car,"[191, 70, 265, 149]",4925,0.22
img.png,car,"[270, 25, 307, 58]",1221,0.19
img.png,car,"[208, 14, 241, 46]",1056,0.19
img.png,car,"[157, 17, 181, 47]",720,0.19
img.png,car,"[168, 4, 193, 31]",675,0.19
img.png,car,"[119, 24, 171, 68]",2288,0.19
img.png,car,"[190, 27, 235, 59]",1440,0.19
img.png,car,"[116, 46, 165, 101]",2695,0.19
img.png,car,"[276, 33, 339, 92]",3717,0.19
img.png,car,"[180, 46, 234, 99]",2862,0.19
img.png,car,"[61, 61, 151, 149]",7920,0.19
img.png,人,"[159, 177, 199, 275]",3920,0.19
img.png,人,"[336, 149, 377, 237]",3608,0.19
img.png,car,"[296, 70, 377, 150]",6480,0.19
img.png,car,"[190, 70, 266, 149]",6004,0.19
